id	name
ls:fr:lffam:1	1-I
ls:fr:lffam:2	2-II
ls:fr:lffam:101	3-III
ls:fr:lffam:3	Syn
ls:fr:lffam:4	Conv-ij
ls:fr:lffam:5	Anti
ls:fr:lffam:6	Non
ls:fr:lffam:7	Contr
ls:fr:lffam:8	Epit
ls:fr:lffam:9	Gener
ls:fr:lffam:10	Figur
ls:fr:lffam:11	S0
ls:fr:lffam:12	V0
ls:fr:lffam:13	A0
ls:fr:lffam:14	Adv0
ls:fr:lffam:15	S1
ls:fr:lffam:16	S2
ls:fr:lffam:17	S3
ls:fr:lffam:18	S4
ls:fr:lffam:19	Sinstr
ls:fr:lffam:20	Sloc
ls:fr:lffam:21	Smed
ls:fr:lffam:22	Smod
ls:fr:lffam:23	Sres
ls:fr:lffam:24	Sing
ls:fr:lffam:25	Mult
ls:fr:lffam:26	Cap
ls:fr:lffam:27	Equip
ls:fr:lffam:31	A1
ls:fr:lffam:32	A2
ls:fr:lffam:33	A3
ls:fr:lffam:34	A4
ls:fr:lffam:35	Able1
ls:fr:lffam:36	Able2
ls:fr:lffam:37	Able3
ls:fr:lffam:38	Able4
ls:fr:lffam:39	Qual1
ls:fr:lffam:40	Qual2
ls:fr:lffam:41	Qual3
ls:fr:lffam:28	Germ
ls:fr:lffam:30	Culm
ls:fr:lffam:43	Magn
ls:fr:lffam:44	Plus
ls:fr:lffam:45	AntiMagn
ls:fr:lffam:46	Minus
ls:fr:lffam:47	Ver
ls:fr:lffam:48	AntiVer
ls:fr:lffam:49	Bon
ls:fr:lffam:50	AntiBon
ls:fr:lffam:53	Adv1
ls:fr:lffam:54	Adv2
ls:fr:lffam:56	Instr
ls:fr:lffam:57	Loc
ls:fr:lffam:58	Propt
ls:fr:lffam:59	Pred
ls:fr:lffam:60	Oper1
ls:fr:lffam:61	Oper2
ls:fr:lffam:62	Oper3
ls:fr:lffam:109	Oper4
ls:fr:lffam:63	Func0
ls:fr:lffam:64	Func1
ls:fr:lffam:65	Func2
ls:fr:lffam:66	Func3
ls:fr:lffam:67	Labor12
ls:fr:lffam:112	Labor13
ls:fr:lffam:68	Labor21
ls:fr:lffam:69	Real1
ls:fr:lffam:70	Real2
ls:fr:lffam:71	Real3
ls:fr:lffam:72	Real4
ls:fr:lffam:73	Real@
ls:fr:lffam:74	Fact0
ls:fr:lffam:75	Fact1
ls:fr:lffam:76	Fact2
ls:fr:lffam:77	Fact3
ls:fr:lffam:78	Fact@
ls:fr:lffam:79	Labreal12
ls:fr:lffam:104	Labreal13
ls:fr:lffam:106	Labreal1@
ls:fr:lffam:80	Labreal21
ls:fr:lffam:107	Labreal23
ls:fr:lffam:97	Incep
ls:fr:lffam:98	Cont
ls:fr:lffam:99	Fin
ls:fr:lffam:81	Caus
ls:fr:lffam:82	Liqu
ls:fr:lffam:84	Involv
ls:fr:lffam:85	Manif
ls:fr:lffam:86	Prepar
ls:fr:lffam:88	Degrad
ls:fr:lffam:89	Son
ls:fr:lffam:91	Result1
ls:fr:lffam:92	Result2
ls:fr:lffam:105	Result3
ls:fr:lffam:93	Obstr
